DATES,TIMES,FlOW,NO3N,NH4N,ORTHO,CL,SO4S,SIO2,HCO3,NA,K,CA,MG,TKN,S 
1983/04/07,09:47,4.33 ,6.70,,,,,,,,,,,,
1983/04/08,09:47,5.15 ,6.50,,,,,,,,,,,,
1983/04/11,16:01,27.49 ,8.80,,,,,,,,,,,,
1983/04/12,15:30,15.19 ,8.20,0.040 ,,,,,,,,,,,
1983/04/13,09:20,11.93 ,7.60,,,,,,,,,,,,
1983/04/14,10:00,8.85 ,6.90,,,,,,,,,,,,
1983/04/15,10:15,51.63 ,3.50,,,,,,,,,,,,
1983/04/18,15:50,15.19 ,6.70,,,,,,,,,,,,
1983/04/19,09:17,12.26 ,6.90,0.070 ,,,,,,,,,,,
1983/04/20,15:18,10.63 ,5.90,,,,,,,,,,,,
1983/04/21,15:23,27.49 ,3.80,0.080 ,,,,,,,,,,,
1983/04/22,15:53,20.78 ,7.80,0.060 ,,,,,,,,,,,
1983/04/25,14:11,60.29 ,7.40,0.060 ,,,,,,,,,,,
1983/04/26,15:33,25.84 ,7.50,0.080 ,,,,,,,,,,,
1983/04/27,14:43,16.38 ,7.20,0.040 ,,,,,,,,,,,
1983/04/28,14:43,11.93 ,5.70,,,,,,,,,,,,
1983/05/02,12:43,7.03 ,4.50,,,,,,,,,,,,
1983/05/04,14:56,9.13 ,4.80,,,,,,,,,,,,
1983/05/05,08:23,9.42 ,5.30,,,,,,,,,,,,
1983/05/06,14:45,7.52 ,5.70,,,,,,,,,,,,
1983/05/09,14:57,4.68 ,4.90,0.020 ,,,,,,,,,,,
1983/05/10,15:05,3.99 ,5.10,,,,,,,,,,,,
1983/05/11,10:15,3.68 ,5.10,,,,,,,,,,,,
1983/05/12,09:40,3.30 ,4.90,,,,,,,,,,,,
1983/05/13,09:36,3.01 ,4.90,,,,,,,,,,,,
1983/05/16,12:15,4.08 ,4.20,,,,,,,,,,,,
1983/05/17,10:50,6.79 ,6.10,,,,,,,,,,,,
1983/05/18,10:50,6.55 ,6.80,,,,,,,,,,,,
1983/05/19,13:54,4.86 ,6.00,,,,,,,,,,,,
1983/05/20,12:48,7.27 ,5.40,,,,,,,,,,,,
1983/05/23,10:10,32.20 ,8.60,,,,,,,,,,,,
1983/05/24,13:03,15.98 ,7.40,,,,,,,,,,,,
1983/05/25,13:55,10.01 ,6.40,,,,,,,,,,,,
1983/05/26,09:10,8.58 ,5.90,,,,,,,,,,,,
1983/05/27,12:25,6.32 ,5.70,0.200 ,,,,,,,,,,,
1983/05/31,10:48,3.37 ,5.20,,,,,,,,,,,,
1983/06/01,10:57,2.88 ,5.20,,,,,,,,,,,,
1983/06/02,08:07,2.62 ,5.20,,,,,,,,,,,,
1983/06/03,13:55,2.14 ,4.80,,,,,,,,,,,,
1983/06/06,09:28,1.97 ,5.10,,,,,,,,,,,,
1983/06/07,13:05,1.71 ,4.90,,,,,,,,,,,,
1983/06/08,09:15,1.66 ,4.80,,,,,,,,,,,,
1983/06/09,08:11,1.43 ,5.00,,,,,,,,,,,,
1983/06/10,09:46,1.34 ,4.90,,,,,,,,,,,,
1983/06/13,08:55,1.14 ,4.90,,,,,,,,,,,,
1983/06/14,07:45,1.06 ,4.90,,,,,,,,,,,,
1983/06/15,08:30,1.03 ,4.90,,,,,,,,,,,,
1983/06/16,08:05,0.99 ,5.00,,,,,,,,,,,,
1983/06/17,08:20,0.92 ,4.70,,,,,,,,,,,,
1983/06/20,08:10,7.27 ,13.50,,,,,,,,,,,,
1983/06/21,09:15,21.26 ,15.00,,,,,,,,,,,,
1983/06/22,08:38,10.01 ,12.40,,,,,,,,,,,,
1983/06/23,09:45,5.88 ,11.60,,,,,,,,,,,,
1983/06/24,08:48,3.83 ,10.90,,,,,,,,,,,,
1983/06/27,08:10,2.02 ,8.50,,,,,,,,,,,,
1983/06/28,08:15,1.81 ,7.40,,,,,,,,,,,,
1983/06/30,06:55,5.34 ,10.70,0.040 ,,,,,,,,,,,
1983/07/05,08:30,1.71 ,8.10,,,,,,,,,,,,
1983/07/06,08:45,1.48 ,7.80,,,,,,,,,,,,
1983/07/07,09:40,1.26 ,7.40,,,,,,,,,,,,
1983/07/08,08:18,1.18 ,7.10,,,,,,,,,,,,
1983/07/13,07:50,0.86 ,6.50,,,,,,,,,,,,
1983/07/15,08:27,0.76 ,5.80,,,,,,,,,,,,
1983/07/18,08:52,0.64 ,5.10,,,,,,,,,,,,
1983/07/20,09:13,0.59 ,4.80,,,,,,,,,,,,
1983/07/23,09:55,0.59 ,4.90,,,,,,,,,,,,
1983/07/25,08:50,0.57 ,4.50,,,,,,,,,,,,
1983/07/29,08:30,0.42 ,3.60,,,,,,,,,,,,
1983/08/01,12:20,0.36 ,3.30,,,,,,,,,,,,
1983/08/03,09:05,0.45 ,3.50,,,,,,,,,,,,
1983/08/05,08:54,0.40 ,3.00,,,,,,,,,,,,
1983/08/08,09:23,0.52 ,4.10,,,,,,,,,,,,
1983/08/10,08:13,0.38 ,3.40,,,,,,,,,,,,
1983/08/12,09:30,4.25 ,8.30,,,,,,,,,,,,
1983/08/15,10:11,1.03 ,7.50,,,,,,,,,,,,
1983/08/17,09:12,0.76 ,6.30,,,,,,,,,,,,
1983/08/19,08:51,1.52 ,6.00,,,,,,,,,,,,
1983/08/22,12:16,1.03 ,6.50,,,,,,,,,,,,
1983/08/24,09:12,0.67 ,6.50,,,,,,,,,,,,
1983/08/26,09:43,0.64 ,5.90,,,,,,,,,,,,
1983/08/29,08:58,0.57 ,5.10,,,,,,,,,,,,
1983/08/31,08:20,0.67 ,4.80,,,,,,,,,,,,
